3.0383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
105.1157 	EXP 	window1: recordFrameIntervals = False
106.0935 	EXP 	fixation: autoDraw = True
107.0983 	EXP 	fixation: autoDraw = False
107.1152 	EXP 	grating: autoDraw = True
107.1152 	EXP 	grating: tex = 'sin'
107.4147 	EXP 	grating: autoDraw = False
107.5183 	EXP 	window1: recordFrameIntervals = False
107.5201 	DATA 	Keypress: left
107.5314 	EXP 	fixation: autoDraw = False
107.5314 	EXP 	grating: autoDraw = False
107.5318 	EXP 	window1: recordFrameIntervals = False
108.5099 	EXP 	fixation: autoDraw = True
109.5144 	EXP 	fixation: autoDraw = False
109.5311 	EXP 	grating: autoDraw = True
109.5311 	EXP 	grating: tex = 'sin'
109.8202 	DATA 	Keypress: left
109.8312 	EXP 	grating: autoDraw = False
109.8362 	EXP 	window1: recordFrameIntervals = False
109.8478 	EXP 	fixation: autoDraw = False
109.8478 	EXP 	grating: autoDraw = False
109.8484 	EXP 	window1: recordFrameIntervals = False
110.8273 	EXP 	fixation: autoDraw = True
111.8304 	EXP 	fixation: autoDraw = False
111.8475 	EXP 	grating: autoDraw = True
111.8475 	EXP 	grating: tex = 'sin'
112.1471 	EXP 	grating: autoDraw = False
112.1512 	EXP 	window1: recordFrameIntervals = False
112.1534 	DATA 	Keypress: right
112.1636 	EXP 	fixation: autoDraw = False
112.1636 	EXP 	grating: autoDraw = False
112.1641 	EXP 	window1: recordFrameIntervals = False
113.1426 	EXP 	fixation: autoDraw = True
114.1467 	EXP 	fixation: autoDraw = False
114.1639 	EXP 	grating: autoDraw = True
114.1639 	EXP 	grating: tex = 'sin'
114.4343 	EXP 	window1: recordFrameIntervals = False
114.4365 	DATA 	Keypress: left
114.4467 	EXP 	fixation: autoDraw = False
114.4467 	EXP 	grating: autoDraw = False
114.4472 	EXP 	window1: recordFrameIntervals = False
115.4260 	EXP 	fixation: autoDraw = True
116.4293 	EXP 	fixation: autoDraw = False
116.4461 	EXP 	grating: autoDraw = True
116.4461 	EXP 	grating: tex = 'sin'
116.7176 	DATA 	Keypress: left
116.7354 	EXP 	window1: recordFrameIntervals = False
116.7461 	EXP 	grating: autoDraw = False
116.7461 	EXP 	fixation: autoDraw = False
116.7461 	EXP 	grating: autoDraw = False
116.7465 	EXP 	window1: recordFrameIntervals = False
117.7260 	EXP 	fixation: autoDraw = True
118.7289 	EXP 	fixation: autoDraw = False
118.7458 	EXP 	grating: autoDraw = True
118.7458 	EXP 	grating: tex = 'sin'
119.0455 	EXP 	grating: autoDraw = False
119.0668 	EXP 	window1: recordFrameIntervals = False
119.0699 	DATA 	Keypress: left
119.0793 	EXP 	fixation: autoDraw = False
119.0793 	EXP 	grating: autoDraw = False
119.0798 	EXP 	window1: recordFrameIntervals = False
120.0598 	EXP 	fixation: autoDraw = True
121.0617 	EXP 	fixation: autoDraw = False
121.0783 	EXP 	grating: autoDraw = True
121.0783 	EXP 	grating: tex = 'sin'
121.3781 	EXP 	grating: autoDraw = False
121.3811 	EXP 	window1: recordFrameIntervals = False
121.3831 	DATA 	Keypress: left
121.3948 	EXP 	fixation: autoDraw = False
121.3948 	EXP 	grating: autoDraw = False
121.3953 	EXP 	window1: recordFrameIntervals = False
122.3726 	EXP 	fixation: autoDraw = True
123.3778 	EXP 	fixation: autoDraw = False
123.3949 	EXP 	grating: autoDraw = True
123.3949 	EXP 	grating: tex = 'sin'
123.6810 	EXP 	window1: recordFrameIntervals = False
123.6827 	DATA 	Keypress: right
123.6943 	EXP 	grating: autoDraw = False
123.6943 	EXP 	fixation: autoDraw = False
123.6943 	EXP 	grating: autoDraw = False
123.6947 	EXP 	window1: recordFrameIntervals = False
124.6724 	EXP 	fixation: autoDraw = True
125.6771 	EXP 	fixation: autoDraw = False
125.6941 	EXP 	grating: autoDraw = True
125.6941 	EXP 	grating: tex = 'sin'
125.9320 	EXP 	window1: recordFrameIntervals = False
125.9340 	DATA 	Keypress: left
125.9438 	EXP 	fixation: autoDraw = False
